結構類型,站間里程,連續里程,備註,座標N值,座標E值,高程_m
地下路段,0+000.0,64+103.785,起點,2771248.280,301976.990,-16.100
地下路段,0+010.0,64+113.785,,2771250.781,301967.308,-16.100
地下路段,0+020.0,64+123.785,,2771253.282,301957.625,-16.100
地下路段,0+030.0,64+133.785,,2771255.783,301947.943,-16.100
地下路段,0+040.0,64+143.785,,2771258.284,301938.261,-16.100
地下路段,0+050.0,64+153.785,,2771260.785,301928.579,-16.100
地下路段,0+060.0,64+163.785,,2771263.286,301918.897,-16.100
地下路段,0+070.0,64+173.785,,2771265.787,301909.215,-16.100
地下路段,0+080.0,64+183.785,,2771268.288,301899.532,-16.100
地下路段,0+090.0,64+193.785,,2771270.789,301889.850,-16.100
地下車站,0+000.0,64+200.181,A1(台北車站),2771272.389,301883.657,-16.100
地下路段,0+010.0,64+210.181,,2771274.890,301873.975,-16.100
地下路段,0+020.0,64+220.181,,2771277.391,301864.293,-16.100
地下路段,0+030.0,64+230.181,,2771279.892,301854.611,-16.100
地下路段,0+040.0,64+240.181,,2771282.393,301844.928,-16.100
地下路段,0+050.0,64+250.181,,2771284.895,301835.246,-16.100
地下路段,0+060.0,64+260.181,,2771287.396,301825.564,-16.100
地下路段,0+070.0,64+270.181,,2771289.897,301815.882,-16.100
地下路段,0+080.0,64+280.181,,2771292.400,301806.200,-16.100
地下路段,0+090.0,64+290.181,,2771294.972,301796.537,-16.100
地下路段,0+100.0,64+300.181,,2771297.753,301786.932,-16.100
地下路段,0+110.0,64+310.181,,2771300.819,301777.414,-16.100
地下路段,0+120.0,64+320.181,,2771304.171,301767.993,-16.100
地下路段,0+130.0,64+330.181,,2771307.745,301758.653,-16.100
地下路段,0+140.0,64+340.181,,2771311.405,301749.347,-16.100
地下路段,0+150.0,64+350.181,,2771315.070,301740.043,-16.100
地下路段,0+160.0,64+360.181,,2771318.736,301730.739,-16.100
地下路段,0+170.0,64+370.181,,2771322.401,301721.435,-16.100
地下路段,0+180.0,64+380.181,,2771326.066,301712.131,-16.100
地下路段,0+190.0,64+390.181,,2771329.731,301702.827,-16.100
地下路段,0+200.0,64+400.181,,2771333.396,301693.523,-16.100
地下路段,0+210.0,64+410.181,,2771337.062,301684.218,-16.100
地下路段,0+220.0,64+420.181,,2771340.727,301674.914,-16.100
地下路段,0+230.0,64+430.181,,2771344.392,301665.610,-16.100
地下路段,0+240.0,64+440.181,,2771348.057,301656.306,-16.100
地下路段,0+250.0,64+450.181,,2771351.722,301647.002,-16.100
地下路段,0+260.0,64+460.181,,2771355.388,301637.698,-16.100
地下路段,0+270.0,64+470.181,,2771359.053,301628.394,-16.100
地下路段,0+280.0,64+480.181,,2771362.718,301619.090,-16.100
地下路段,0+290.0,64+490.181,,2771366.383,301609.786,-16.100
地下路段,0+300.0,64+500.181,,2771370.048,301600.481,-16.100
地下路段,0+310.0,64+510.181,,2771373.713,301591.177,-16.100
地下路段,0+320.0,64+520.181,,2771377.370,301581.870,-16.100
地下路段,0+330.0,64+530.181,,2771380.906,301572.516,-16.100
地下路段,0+340.0,64+540.181,,2771384.140,301563.054,-16.100
地下路段,0+350.0,64+550.181,,2771386.995,301553.471,-16.100
地下路段,0+360.0,64+560.181,,2771389.465,301543.781,-16.100
地下路段,0+370.0,64+570.181,,2771391.600,301534.012,-16.100
地下路段,0+380.0,64+580.181,,2771393.578,301524.210,-16.100
地下路段,0+390.0,64+590.181,,2771395.539,301514.404,-16.107
地下路段,0+400.0,64+600.181,,2771397.500,301504.598,-16.135
地下路段,0+410.0,64+610.181,,2771399.462,301494.793,-16.186
地下路段,0+420.0,64+620.181,,2771401.423,301484.987,-16.260
地下路段,0+430.0,64+630.181,,2771403.384,301475.181,-16.357
地下路段,0+440.0,64+640.181,,2771405.345,301465.375,-16.476
地下路段,0+450.0,64+650.181,,2771407.306,301455.569,-16.618
地下路段,0+460.0,64+660.181,,2771409.267,301445.764,-16.782
地下路段,0+470.0,64+670.181,,2771411.229,301435.958,-16.969
地下路段,0+480.0,64+680.181,,2771413.190,301426.152,-17.179
地下路段,0+490.0,64+690.181,,2771415.151,301416.346,-17.405
